url,listing_id,price_eur,area_m2,rooms,floor,max_floor,is_ground_floor,is_top_floor,heat,construction_type,newbuild,district
https://www.imot.bg/obiava-1a176131063511241-prodava-ednostaen-apartament-grad-sofiya-ovcha-kupel,ida1a176131063511241,79900.0,49.0,1,1.0,6.0,0,0,gas,brick,1.0,Овча купел
https://www.imot.bg/obiava-1a175948525666911-prodava-ednostaen-apartament-grad-sofiya-ovcha-kupel-2,ida1a175948525666911,117500.0,47.0,1,6.0,9.0,0,0,gas,brick,1.0,Овча купел 2
https://www.imot.bg/obiava-1a176069653062030-prodava-ednostaen-apartament-grad-sofiya-poligona-ul-petar-protich,ida1a176069653062030,147000.0,47.0,1,3.0,10.0,0,0,other,brick,1.0,Полигона
https://www.imot.bg/obiava-1a176173980400828-prodava-ednostaen-apartament-grad-sofiya-razsadnika-bul-al-stamboliyski,ida1a176173980400828,107000.0,48.0,1,10.0,15.0,0,0,other,epk,0.0,Разсадника
https://www.imot.bg/obiava-1a176157609124519-prodava-ednostaen-apartament-grad-sofiya-sveta-troitsa,ida1a176157609124519,135000.0,47.0,1,9.0,10.0,0,0,gas,brick,1.0,Света Троица
https://www.imot.bg/obiava-1a175200283963557-prodava-ednostaen-apartament-grad-sofiya-serdika,ida1a175200283963557,91000.0,35.0,1,3.0,9.0,0,0,gas,brick,1.0,Сердика
https://www.imot.bg/obiava-1a175336326785289-prodava-ednostaen-apartament-grad-sofiya-simeonovo,ida1a175336326785289,121999.0,85.0,1,6.0,6.0,0,1,other,brick,1.0,Симеоново
https://www.imot.bg/obiava-1a175256713109108-prodava-ednostaen-apartament-grad-sofiya-simeonovo,ida1a175256713109108,129000.0,46.0,1,2.0,4.0,0,0,gas,brick,1.0,Симеоново
https://www.imot.bg/obiava-1a175256701445899-prodava-ednostaen-apartament-grad-sofiya-simeonovo,ida1a175256701445899,167400.0,62.0,1,1.0,4.0,0,0,gas,brick,1.0,Симеоново
https://www.imot.bg/obiava-1a176371339484861-prodava-ednostaen-apartament-grad-sofiya-slatina,ida1a176371339484861,127000.0,45.0,1,2.0,8.0,0,0,district,panel,0.0,Слатина
https://www.imot.bg/obiava-1a175310137848173-prodava-ednostaen-apartament-grad-sofiya-slatina,ida1a175310137848173,143000.0,46.0,1,7.0,8.0,0,0,gas,panel,0.0,Слатина
https://www.imot.bg/obiava-1a176310069744749-prodava-ednostaen-apartament-grad-sofiya-studentski-grad,ida1a176310069744749,98200.0,42.0,1,3.0,4.0,0,0,gas,brick,1.0,Студентски град
https://www.imot.bg/obiava-1a175776799407712-prodava-ednostaen-apartament-grad-sofiya-studentski-grad,ida1a175776799407712,109999.0,39.0,1,1.0,8.0,0,0,gas,brick,1.0,Студентски град
https://www.imot.bg/obiava-1a175862922003034-prodava-ednostaen-apartament-grad-sofiya-studentski-grad,ida1a175862922003034,114999.0,42.0,1,,,0,0,gas,brick,1.0,Студентски град
https://www.imot.bg/obiava-1a176374851563294-prodava-ednostaen-apartament-grad-sofiya-studentski-grad,ida1a176374851563294,115000.0,37.0,1,3.0,7.0,0,0,other,brick,1.0,Студентски град
https://www.imot.bg/obiava-1a176356983988400-prodava-ednostaen-apartament-grad-sofiya-studentski-grad,ida1a176356983988400,118900.0,45.0,1,10.0,13.0,0,0,gas,brick,1.0,Студентски град
https://www.imot.bg/obiava-1a176120792080798-prodava-ednostaen-apartament-grad-sofiya-studentski-grad,ida1a176120792080798,122518.0,43.0,1,6.0,6.0,0,1,gas,brick,1.0,Студентски град
https://www.imot.bg/obiava-1a176354442388160-prodava-ednostaen-apartament-grad-sofiya-studentski-grad-ul-akad-boris-stefanov,ida1a176354442388160,125000.0,37.0,1,10.0,15.0,0,0,gas,brick,1.0,Студентски град
